,0
0,10
1,20
2,2002
3,90
4,ability
5,able
6,about
7,above
8,across
9,act
10,acted
11,acting
12,action
13,actor
14,actors
15,actress
16,actually
17,adaptation
18,adults
19,adventure
20,after
21,again
22,against
23,age
24,ages
25,ago
26,air
27,all
28,almost
29,alone
30,along
31,already
32,also
33,always
34,ambitious
35,america
36,american
37,among
38,amusing
39,an
40,and
41,animated
42,animation
43,another
44,anti
45,any
46,anyone
47,anything
48,appeal
49,appealing
50,approach
51,are
52,around
53,art
54,artist
55,artistic
56,as
57,at
58,attempt
59,attention
60,audience
61,audiences
62,average
63,away
64,awful
65,back
66,bad
67,barely
68,based
69,battle
70,be
71,beautiful
72,beautifully
73,beauty
74,because
75,become
76,becomes
77,been
78,before
79,behind
80,being
81,believable
82,believe
83,best
84,better
85,between
86,beyond
87,big
88,bit
89,bizarre
90,black
91,bland
92,blood
93,book
94,boring
95,both
96,boy
97,boys
98,brain
99,break
100,brilliant
101,bring
102,british
103,brothers
104,budget
105,business
106,but
107,by
108,ca
109,call
110,called
111,camera
112,can
113,car
114,care
115,career
116,cartoon
117,case
118,cast
119,cause
120,central
121,century
122,certain
123,certainly
124,chan
125,change
126,character
127,characters
128,charm
129,charming
130,cheap
131,chemistry
132,children
133,cinema
134,cinematic
135,city
136,class
137,classic
138,clear
139,clever
140,cliches
141,close
142,co
143,cold
144,college
145,colorful
146,come
147,comedies
148,comedy
149,comes
150,comic
151,coming
152,company
153,compelling
154,completely
155,complex
156,computer
157,concept
158,conclusion
159,considerable
160,contemporary
161,contrived
162,conventional
163,convincing
164,cool
165,core
166,could
167,country
168,couple
169,crafted
170,crazy
171,create
172,creative
173,creepy
174,crime
175,crowd
176,cultural
177,culture
178,cut
179,cute
180,damned
181,dark
182,date
183,david
184,day
185,days
186,de
187,dead
188,deal
189,death
190,debut
191,decent
192,deep
193,deeply
194,delightful
195,delivers
196,depth
197,deserves
198,despite
199,dialogue
200,did
201,different
202,difficult
203,directed
204,direction
205,director
206,directors
207,disney
208,do
209,documentary
210,does
211,dog
212,doing
213,done
214,down
215,drag
216,drama
217,dramatic
218,dream
219,dreams
220,dry
221,dull
222,dumb
223,during
224,each
225,earnest
226,easily
227,easy
228,edge
229,effective
230,effects
231,effort
232,either
233,elements
234,else
235,emotional
236,emotionally
237,emotions
238,end
239,endearing
240,ending
241,ends
242,energy
243,engaging
244,engrossing
245,enjoy
246,enjoyable
247,enough
248,ensemble
249,entertaining
250,entertainment
251,entire
252,entirely
253,epic
254,episode
255,equally
256,era
257,especially
258,even
259,events
260,ever
261,every
262,everyone
263,everything
264,evil
265,exactly
266,examination
267,excellent
268,execution
269,exercise
270,expect
271,experience
272,extreme
273,eye
274,eyes
275,face
276,fact
277,fails
278,fairly
279,falls
280,familiar
281,family
282,fans
283,fantasy
284,far
285,fascinating
286,fashioned
287,fast
288,feature
289,feel
290,feeling
291,feels
292,felt
293,female
294,festival
295,few
296,fi
297,fiction
298,figure
299,film
300,filmmaker
301,filmmakers
302,filmmaking
303,films
304,final
305,finally
306,find
307,fine
308,fire
309,first
310,fit
311,five
312,flat
313,flawed
314,flaws
315,flick
316,flicks
317,for
318,force
319,foreign
320,forget
321,form
322,formula
323,found
324,four
325,frame
326,franchise
327,free
328,french
329,fresh
330,friendship
331,from
332,full
