PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence),Idx,Keywords
113467,6031,is well below expectation .,0,is well below expectations .,4,4,3.0,113467,"['below', 'expectation', 'is', 'is well', 'well']"
113466,6031,Below is well below expectation .,0,Below is well below expectations .,4,4,3.0,113466,"['below', 'expectation', 'is', 'is well', 'well']"
113469,6031,below expectation,3,below expectations,2,1,3.0,113469,"['below', 'expectation']"
113468,6031,is well below expectation,1,is well below expectations,4,3,3.0,113468,"['below', 'expectation', 'is', 'is well', 'well']"
39920,1908,"no charm , no laugh , no fun , no reason to watch",1,"no charm , no laughs , no fun , no reason to watch",3,2,2.230769230769231,39920,"['charm', 'fun', 'laugh', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39921,1908,"no charm , no laugh , no fun ,",0,"no charm , no laughs , no fun ,",3,3,2.230769230769231,39921,"['charm', 'fun', 'laugh', 'no']"
39922,1908,"no charm , no laugh , no fun",0,"no charm , no laughs , no fun",3,3,2.230769230769231,39922,"['charm', 'fun', 'laugh', 'no']"
39923,1908,"no charm , no laugh ,",0,"no charm , no laughs ,",3,3,2.230769230769231,39923,"['charm', 'laugh', 'no']"
39924,1908,"no charm , no laugh",0,"no charm , no laughs",3,3,2.230769230769231,39924,"['charm', 'laugh', 'no']"
39925,1908,"no charm ,",1,"no charm ,",3,2,2.230769230769231,39925,"['charm', 'no']"
39926,1908,no charm,1,no charm,3,2,2.230769230769231,39926,"['charm', 'no']"
39927,1908,no laugh,1,no laughs,2,1,2.230769230769231,39927,"['laugh', 'no']"
39928,1908,no fun,1,no fun,3,2,2.230769230769231,39928,"['fun', 'no']"
39929,1908,no reason to watch,0,no reason to watch,2,2,2.230769230769231,39929,"['no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39930,1908,reason to watch,2,reason to watch,2,0,2.230769230769231,39930,"['reason', 'reason to', 'to', 'to watch', 'watch']"
39918,1908,"... no charm , no laugh , no fun , no reason to watch .",0,"... no charm , no laughs , no fun , no reason to watch .",3,3,2.230769230769231,39918,"['charm', 'fun', 'laugh', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39919,1908,"no charm , no laugh , no fun , no reason to watch .",0,"no charm , no laughs , no fun , no reason to watch .",3,3,2.230769230769231,39919,"['charm', 'fun', 'laugh', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
73311,3745,This one aim for the toilet and score a direct hit .,0,This one aims for the toilet and scores a direct hit .,3,3,2.1666666666666665,73311,"['aim', 'and', 'direct', 'for', 'for the', 'hit', 'one', 'score', 'the', 'the toilet', 'this', 'this one', 'toilet']"
73312,3745,aim for the toilet and score a direct hit .,1,aims for the toilet and scores a direct hit .,3,2,2.1666666666666665,73312,"['aim', 'and', 'direct', 'for', 'for the', 'hit', 'score', 'the', 'the toilet', 'toilet']"
73313,3745,aim for the toilet and score a direct hit,0,aims for the toilet and scores a direct hit,3,3,2.1666666666666665,73313,"['aim', 'and', 'direct', 'for', 'for the', 'hit', 'score', 'the', 'the toilet', 'toilet']"
73314,3745,for the toilet and score a direct hit,0,for the toilet and scores a direct hit,3,3,2.1666666666666665,73314,"['and', 'direct', 'for', 'for the', 'hit', 'score', 'the', 'the toilet', 'toilet']"
73315,3745,the toilet and score a direct hit,1,the toilet and scores a direct hit,3,2,2.1666666666666665,73315,"['and', 'direct', 'hit', 'score', 'the', 'the toilet', 'toilet']"
73316,3745,the toilet and,2,the toilet and,2,0,2.1666666666666665,73316,"['and', 'the', 'the toilet', 'toilet']"
152765,8336,the perfect cure,3,the perfect cure,4,1,2.1,152765,"['cure', 'perfect', 'the', 'the perfect']"
151898,8288,carry much of the film with a creepy and dead-on performance,4,carries much of the film with a creepy and dead-on performance,1,3,2.1,151898,"['and', 'and dead', 'carry', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'much', 'much of', 'of', 'of the', 'on', 'performance', 'the', 'the film', 'with']"
151899,8288,much of the film with a creepy and dead-on performance,1,much of the film with a creepy and dead-on performance,1,0,2.1,151899,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'much', 'much of', 'of', 'of the', 'on', 'performance', 'the', 'the film', 'with']"
151900,8288,of the film with a creepy and dead-on performance,4,of the film with a creepy and dead-on performance,1,3,2.1,151900,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'of', 'of the', 'on', 'performance', 'the', 'the film', 'with']"
151901,8288,the film with a creepy and dead-on performance,3,the film with a creepy and dead-on performance,1,2,2.1,151901,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'on', 'performance', 'the', 'the film', 'with']"
151902,8288,with a creepy and dead-on performance,3,with a creepy and dead-on performance,1,2,2.1,151902,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'on', 'performance', 'with']"
152764,8336,the perfect cure for insomnia,0,the perfect cure for insomnia,3,3,2.1,152764,"['cure', 'for', 'insomnia', 'perfect', 'the', 'the perfect']"
151904,8288,creepy and dead-on performance,3,creepy and dead-on performance,1,2,2.1,151904,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'on', 'performance']"
151905,8288,creepy and dead-on,3,creepy and dead-on,2,1,2.1,151905,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'on']"
152758,8336,"When it come out on video , then it 's the perfect cure for insomnia .",0,"When it comes out on video , then it 's the perfect cure for insomnia .",4,4,2.1,152758,"['come', 'come out', 'cure', 'for', 'insomnia', 'it', 'it come', 'it the', 'on', 'on video', 'out', 'out on', 'perfect', 'the', 'the perfect', 'then', 'video', 'when', 'when it']"
152759,8336,", then it 's the perfect cure for insomnia .",1,", then it 's the perfect cure for insomnia .",3,2,2.1,152759,"['cure', 'for', 'insomnia', 'it', 'it the', 'perfect', 'the', 'the perfect', 'then']"
152760,8336,then it 's the perfect cure for insomnia .,0,then it 's the perfect cure for insomnia .,3,3,2.1,152760,"['cure', 'for', 'insomnia', 'it', 'it the', 'perfect', 'the', 'the perfect', 'then']"
152761,8336,it 's the perfect cure for insomnia .,1,it 's the perfect cure for insomnia .,3,2,2.1,152761,"['cure', 'for', 'insomnia', 'it', 'it the', 'perfect', 'the', 'the perfect']"
152762,8336,'s the perfect cure for insomnia .,0,'s the perfect cure for insomnia .,3,3,2.1,152762,"['cure', 'for', 'insomnia', 'perfect', 'the', 'the perfect']"
151896,8288,Renner carry much of the film with a creepy and dead-on performance .,4,Renner carries much of the film with a creepy and dead-on performance .,1,3,2.1,151896,"['and', 'and dead', 'carry', 'creepy', 'creepy and', 'dead', 'film', 'film with', 'much', 'much of', 'of', 'of the', 'on', 'performance', 'the', 'the film', 'with']"
152763,8336,'s the perfect cure for insomnia,1,'s the perfect cure for insomnia,3,2,2.1,152763,"['cure', 'for', 'insomnia', 'perfect', 'the', 'the perfect']"
152767,8336,for insomnia,3,for insomnia,2,1,2.1,152767,"['for', 'insomnia']"
152766,8336,perfect cure,2,perfect cure,2,0,2.1,152766,"['cure', 'perfect']"
151903,8288,a creepy and dead-on performance,4,a creepy and dead-on performance,1,3,2.1,151903,"['and', 'and dead', 'creepy', 'creepy and', 'dead', 'on', 'performance']"
